subject_id,segment_idx,hr_gt_bpm,hr_pr_bpm,err_bpm
01-01,0,70.3125,91.40625,21.09375
01-01,1,70.3125,112.5,42.1875
01-01,2,70.3125,98.4375,28.125
01-01,3,63.28125,112.5,49.21875
01-01,4,63.28125,91.40625,28.125
01-01,5,63.28125,98.4375,35.15625
01-01,6,63.28125,112.5,49.21875
01-01,7,63.28125,112.5,49.21875
01-01,8,63.28125,112.5,49.21875
01-01,9,63.28125,112.5,49.21875
01-01,10,63.28125,105.46875,42.1875
01-01,11,63.28125,112.5,49.21875
01-01,12,63.28125,112.5,49.21875
01-01,13,63.28125,112.5,49.21875
01-01,14,63.28125,112.5,49.21875
01-01,15,63.28125,112.5,49.21875
01-01,16,63.28125,112.5,49.21875
01-01,17,63.28125,112.5,49.21875
01-01,18,63.28125,112.5,49.21875
01-01,19,63.28125,112.5,49.21875
01-01,20,63.28125,105.46875,42.1875
01-01,21,63.28125,112.5,49.21875
01-01,22,63.28125,112.5,49.21875
01-01,23,63.28125,105.46875,42.1875
01-01,24,63.28125,112.5,49.21875
01-01,25,63.28125,112.5,49.21875
01-01,26,133.59375,105.46875,-28.125
01-01,27,133.59375,105.46875,-28.125
01-01,28,63.28125,112.5,49.21875
01-01,29,63.28125,105.46875,42.1875
01-01,30,63.28125,112.5,49.21875
01-01,31,63.28125,112.5,49.21875
01-01,32,63.28125,98.4375,35.15625
01-01,33,63.28125,112.5,49.21875
01-01,34,63.28125,112.5,49.21875
01-01,35,63.28125,112.5,49.21875
01-01,36,63.28125,112.5,49.21875
01-01,37,63.28125,112.5,49.21875
01-01,38,63.28125,112.5,49.21875
01-01,39,63.28125,112.5,49.21875
01-01,40,63.28125,98.4375,35.15625
01-01,41,63.28125,112.5,49.21875
01-01,42,63.28125,112.5,49.21875
01-01,43,63.28125,112.5,49.21875
01-01,44,63.28125,112.5,49.21875
01-01,45,63.28125,112.5,49.21875
01-01,46,63.28125,112.5,49.21875
01-01,47,63.28125,112.5,49.21875
01-01,48,63.28125,112.5,49.21875
01-01,49,63.28125,112.5,49.21875
01-01,50,133.59375,105.46875,-28.125
01-01,51,70.3125,105.46875,35.15625
01-01,52,133.59375,112.5,-21.09375
01-01,53,70.3125,112.5,42.1875
01-01,54,70.3125,84.375,14.0625
01-01,55,133.59375,112.5,-21.09375
01-01,56,133.59375,112.5,-21.09375
01-01,57,63.28125,112.5,49.21875
01-01,58,63.28125,112.5,49.21875
01-01,59,63.28125,105.46875,42.1875
01-01,60,63.28125,98.4375,35.15625
01-01,61,63.28125,91.40625,28.125
01-01,62,63.28125,91.40625,28.125
01-01,63,63.28125,91.40625,28.125
01-01,64,63.28125,91.40625,28.125
01-01,65,63.28125,91.40625,28.125
01-01,66,63.28125,91.40625,28.125
01-01,67,63.28125,98.4375,35.15625
01-01,68,63.28125,91.40625,28.125
01-01,69,63.28125,84.375,21.09375
01-01,70,63.28125,84.375,21.09375
01-01,71,63.28125,91.40625,28.125
01-01,72,63.28125,91.40625,28.125
01-01,73,63.28125,91.40625,28.125
01-01,74,63.28125,112.5,49.21875
01-01,75,63.28125,112.5,49.21875
01-01,76,63.28125,112.5,49.21875
01-01,77,63.28125,98.4375,35.15625
01-01,78,63.28125,98.4375,35.15625
01-01,79,63.28125,98.4375,35.15625
