subject_id,segment_idx,hr_gt_bpm,hr_pr_bpm,err_bpm
subject1,0,98.4375,77.34375,-21.09375
subject1,1,98.4375,112.5,14.0625
subject1,2,98.4375,112.5,14.0625
subject1,3,98.4375,77.34375,-21.09375
subject1,4,98.4375,91.40625,-7.03125
subject1,5,98.4375,112.5,14.0625
subject1,6,98.4375,112.5,14.0625
subject1,7,98.4375,84.375,-14.0625
subject1,8,98.4375,77.34375,-21.09375
subject1,9,105.46875,84.375,-21.09375
subject1,10,105.46875,84.375,-21.09375
subject1,11,105.46875,77.34375,-28.125
subject1,12,105.46875,84.375,-21.09375
subject1,13,105.46875,84.375,-21.09375
subject1,14,105.46875,112.5,7.03125
subject1,15,105.46875,84.375,-21.09375
subject1,16,105.46875,84.375,-21.09375
subject1,17,98.4375,84.375,-14.0625
subject1,18,98.4375,98.4375,0.0
subject1,19,112.5,84.375,-28.125
subject1,20,112.5,84.375,-28.125
subject1,21,112.5,84.375,-28.125
subject1,22,112.5,91.40625,-21.09375
subject1,23,112.5,105.46875,-7.03125
subject1,24,112.5,84.375,-28.125
subject1,25,112.5,105.46875,-7.03125
subject1,26,105.46875,105.46875,0.0
subject1,27,105.46875,91.40625,-14.0625
subject1,28,105.46875,98.4375,-7.03125
subject1,29,105.46875,77.34375,-28.125
subject1,30,105.46875,84.375,-21.09375
subject1,31,105.46875,98.4375,-7.03125
subject1,32,105.46875,84.375,-21.09375
subject1,33,105.46875,98.4375,-7.03125
subject1,34,105.46875,98.4375,-7.03125
subject1,35,105.46875,84.375,-21.09375
subject1,36,105.46875,91.40625,-14.0625
subject1,37,112.5,98.4375,-14.0625
subject1,38,112.5,91.40625,-21.09375
subject1,39,112.5,91.40625,-21.09375
subject1,40,112.5,98.4375,-14.0625
subject1,41,112.5,91.40625,-21.09375
subject1,42,112.5,84.375,-28.125
subject1,43,112.5,91.40625,-21.09375
subject1,44,112.5,91.40625,-21.09375
subject1,45,112.5,84.375,-28.125
subject1,46,112.5,91.40625,-21.09375
subject1,47,112.5,91.40625,-21.09375
subject1,48,112.5,112.5,0.0
subject1,49,112.5,91.40625,-21.09375
subject1,50,112.5,112.5,0.0
subject1,51,112.5,91.40625,-21.09375
subject1,52,112.5,91.40625,-21.09375
subject1,53,112.5,91.40625,-21.09375
subject1,54,112.5,91.40625,-21.09375
subject1,55,112.5,91.40625,-21.09375
subject1,56,112.5,98.4375,-14.0625
subject1,57,112.5,91.40625,-21.09375
subject1,58,112.5,112.5,0.0
subject1,59,98.4375,98.4375,0.0
subject1,60,98.4375,112.5,14.0625
subject1,61,98.4375,91.40625,-7.03125
subject1,62,105.46875,98.4375,-7.03125
subject1,63,105.46875,91.40625,-14.0625
subject1,64,105.46875,98.4375,-7.03125
subject1,65,105.46875,112.5,7.03125
subject1,66,105.46875,91.40625,-14.0625
subject1,67,105.46875,112.5,7.03125
subject1,68,105.46875,91.40625,-14.0625
subject1,69,105.46875,91.40625,-14.0625
subject1,70,105.46875,91.40625,-14.0625
subject1,71,105.46875,91.40625,-14.0625
subject1,72,105.46875,91.40625,-14.0625
subject1,73,112.5,91.40625,-21.09375
subject1,74,112.5,91.40625,-21.09375
subject1,75,112.5,98.4375,-14.0625
subject1,76,112.5,91.40625,-21.09375
subject1,77,112.5,112.5,0.0
subject1,78,112.5,112.5,0.0
subject1,79,112.5,91.40625,-21.09375
subject1,80,112.5,91.40625,-21.09375
subject1,81,112.5,112.5,0.0
subject1,82,112.5,91.40625,-21.09375
subject1,83,112.5,98.4375,-14.0625
subject1,84,112.5,77.34375,-35.15625
subject1,85,112.5,112.5,0.0
subject1,86,112.5,98.4375,-14.0625
subject1,87,112.5,91.40625,-21.09375
subject1,88,112.5,112.5,0.0
subject1,89,112.5,112.5,0.0
