
----------------------------------------------- [START 2026-03-18 15:27:35] ---------------------------------------------------

Train Inter:0 | loss:  1.2951249 |PURE_my_in : 0.99968505 |CM : -0.010897658 |DM : 0.29543984 |TA : 0.07065165 |AlignPos : 5.47612 | 0 hr 00 min
Train Inter:100 | loss:  0.307468 |PURE_my_in : 0.28916425 |CM : -0.011279512 |DM : 0.018303758 |TA : 0.10500246 |AlignPos : 5.398862 | 0 hr 00 min
Train Inter:200 | loss:  0.20405267 |PURE_my_in : 0.17883807 |CM : -0.01056455 |DM : 0.025214603 |TA : 0.11611253 |AlignPos : 5.4918613 | 0 hr 00 min
Train Inter:300 | loss:  0.15397477 |PURE_my_in : 0.14181626 |CM : -0.010421998 |DM : 0.012158515 |TA : 0.1170758 |AlignPos : 5.4772515 | 0 hr 00 min
Train Inter:400 | loss:  0.12653524 |PURE_my_in : 0.106301725 |CM : -0.010825015 |DM : 0.020233514 |TA : 0.12725389 |AlignPos : 5.760368 | 0 hr 01 min
Train Inter:500 | loss:  0.103047304 |PURE_my_in : 0.095766306 |CM : -0.0100049935 |DM : 0.007280997 |TA : 0.1206705 |AlignPos : 5.439635 | 0 hr 01 min
Train Inter:600 | loss:  0.08998047 |PURE_my_in : 0.08078539 |CM : -0.010854454 |DM : 0.009195076 |TA : 0.13084751 |AlignPos : 5.590681 | 0 hr 01 min
Train Inter:700 | loss:  0.091907136 |PURE_my_in : 0.08198786 |CM : -0.011039426 |DM : 0.009919276 |TA : 0.12319565 |AlignPos : 5.7366395 | 0 hr 02 min
Train Inter:800 | loss:  0.08936364 |PURE_my_in : 0.08061969 |CM : -0.0107500255 |DM : 0.00874395 |TA : 0.13733172 |AlignPos : 5.470455 | 0 hr 02 min
Train Inter:900 | loss:  0.087164365 |PURE_my_in : 0.064706504 |CM : -0.010632992 |DM : 0.022457862 |TA : 0.121502936 |AlignPos : 5.758898 | 0 hr 02 min
Train Inter:1000 | loss:  0.06335753 |PURE_my_in : 0.05984348 |CM : -0.010324856 |DM : 0.0035140477 |TA : 0.13324833 |AlignPos : 5.6722755 | 0 hr 03 min

----------------------------------------------- [START 2026-03-18 15:35:53] ---------------------------------------------------

Train Inter:0 | loss:  1.2951249 |PURE_my_in : 0.99968505 |CM : -0.010897658 |DM : 0.29543984 |TA : 0.07065165 |AlignPos : 5.47612 | 0 hr 00 min
Train Inter:100 | loss:  0.307468 |PURE_my_in : 0.28916425 |CM : -0.011279512 |DM : 0.018303758 |TA : 0.10500246 |AlignPos : 5.398862 | 0 hr 00 min
Train Inter:200 | loss:  0.20405267 |PURE_my_in : 0.17883807 |CM : -0.01056455 |DM : 0.025214603 |TA : 0.11611253 |AlignPos : 5.4918613 | 0 hr 00 min
Train Inter:300 | loss:  0.15397477 |PURE_my_in : 0.14181626 |CM : -0.010421998 |DM : 0.012158515 |TA : 0.1170758 |AlignPos : 5.4772515 | 0 hr 00 min
Train Inter:400 | loss:  0.12653524 |PURE_my_in : 0.106301725 |CM : -0.010825015 |DM : 0.020233514 |TA : 0.12725389 |AlignPos : 5.760368 | 0 hr 01 min
