
----------------------------------------------- [START 2026-03-25 11:12:42] ---------------------------------------------------

Train Inter:0 | loss:  1.5461205 |PURE_my_rm : 0.99331105 |CM : -0.01072812 |DM : 0.5528095 |TA : 0.053262115 |AlignPos : 0.0 | 0 hr 00 min
Train Inter:100 | loss:  0.3040327 |PURE_my_rm : 0.17588317 |CM : -0.011962487 |DM : 0.12814954 |TA : 0.11271465 |AlignPos : 0.0 | 0 hr 00 min
Train Inter:200 | loss:  0.22334133 |PURE_my_rm : 0.10520083 |CM : -0.011749939 |DM : 0.118140504 |TA : 0.10185456 |AlignPos : 0.0 | 0 hr 00 min
Train Inter:300 | loss:  0.14652053 |PURE_my_rm : 0.08618319 |CM : -0.01194303 |DM : 0.06033733 |TA : 0.106146276 |AlignPos : 0.0 | 0 hr 01 min
Train Inter:400 | loss:  0.124932915 |PURE_my_rm : 0.08645481 |CM : -0.012142745 |DM : 0.038478103 |TA : 0.1170122 |AlignPos : 0.0 | 0 hr 01 min
Train Inter:500 | loss:  0.14803207 |PURE_my_rm : 0.09229463 |CM : -0.011073534 |DM : 0.05573743 |TA : 0.11180186 |AlignPos : 0.0 | 0 hr 02 min
Train Inter:600 | loss:  0.11314534 |PURE_my_rm : 0.0757311 |CM : -0.012233822 |DM : 0.037414234 |TA : 0.10880017 |AlignPos : 0.0 | 0 hr 02 min
Train Inter:700 | loss:  0.08297701 |PURE_my_rm : 0.060536385 |CM : -0.012191425 |DM : 0.02244063 |TA : 0.12477571 |AlignPos : 0.0 | 0 hr 02 min
Train Inter:800 | loss:  0.09797457 |PURE_my_rm : 0.06135285 |CM : -0.012318391 |DM : 0.03662172 |TA : 0.12266725 |AlignPos : 0.0 | 0 hr 03 min
Train Inter:900 | loss:  0.08257948 |PURE_my_rm : 0.061707318 |CM : -0.011866161 |DM : 0.02087216 |TA : 0.12237495 |AlignPos : 0.0 | 0 hr 03 min
Train Inter:1000 | loss:  0.06480568 |PURE_my_rm : 0.058335602 |CM : -0.011347572 |DM : 0.0064700786 |TA : 0.1196394 |AlignPos : 0.0 | 0 hr 04 min

----------------------------------------------- [START 2026-03-25 15:29:26] ---------------------------------------------------

Train Inter:0 | loss:  1.5461205 |PURE_my_rm : 0.99331105 |CM : -0.01072812 |DM : 0.5528095 |TA : 0.053262115 |AlignPos : 0.0 | 0 hr 00 min
Train Inter:100 | loss:  0.3040327 |PURE_my_rm : 0.17588317 |CM : -0.011962487 |DM : 0.12814954 |TA : 0.11271465 |AlignPos : 0.0 | 0 hr 00 min
Train Inter:200 | loss:  0.22334133 |PURE_my_rm : 0.10520083 |CM : -0.011749939 |DM : 0.118140504 |TA : 0.10185456 |AlignPos : 0.0 | 0 hr 00 min
Train Inter:300 | loss:  0.14652053 |PURE_my_rm : 0.08618319 |CM : -0.01194303 |DM : 0.06033733 |TA : 0.106146276 |AlignPos : 0.0 | 0 hr 01 min
Train Inter:400 | loss:  0.124932915 |PURE_my_rm : 0.08645481 |CM : -0.012142745 |DM : 0.038478103 |TA : 0.1170122 |AlignPos : 0.0 | 0 hr 01 min
Train Inter:500 | loss:  0.14803207 |PURE_my_rm : 0.09229463 |CM : -0.011073534 |DM : 0.05573743 |TA : 0.11180186 |AlignPos : 0.0 | 0 hr 02 min
Train Inter:600 | loss:  0.11314534 |PURE_my_rm : 0.0757311 |CM : -0.012233822 |DM : 0.037414234 |TA : 0.10880017 |AlignPos : 0.0 | 0 hr 02 min
Train Inter:700 | loss:  0.08297701 |PURE_my_rm : 0.060536385 |CM : -0.012191425 |DM : 0.02244063 |TA : 0.12477571 |AlignPos : 0.0 | 0 hr 02 min
Train Inter:800 | loss:  0.09797457 |PURE_my_rm : 0.06135285 |CM : -0.012318391 |DM : 0.03662172 |TA : 0.12266725 |AlignPos : 0.0 | 0 hr 03 min
Train Inter:900 | loss:  0.08257948 |PURE_my_rm : 0.061707318 |CM : -0.011866161 |DM : 0.02087216 |TA : 0.12237495 |AlignPos : 0.0 | 0 hr 03 min
Train Inter:1000 | loss:  0.06480568 |PURE_my_rm : 0.058335602 |CM : -0.011347572 |DM : 0.0064700786 |TA : 0.1196394 |AlignPos : 0.0 | 0 hr 04 min
