
----------------------------------------------- [START 2026-03-18 16:01:10] ---------------------------------------------------

Train Inter:0 | loss:  1.3909081 |PURE_my_rm : 0.99732435 |CM : -0.010364704 |DM : 0.39358377 |TA : 0.065246224 | 0 hr 00 min
Train Inter:100 | loss:  1.0135362 |PURE_my_rm : 0.97699076 |CM : -0.011385982 |DM : 0.03654542 |TA : 0.11220896 | 0 hr 00 min
Train Inter:200 | loss:  0.28441948 |PURE_my_rm : 0.25571918 |CM : -0.011511781 |DM : 0.028700292 |TA : 0.10302311 | 0 hr 00 min
Train Inter:300 | loss:  0.14939034 |PURE_my_rm : 0.12414247 |CM : -0.011657281 |DM : 0.025247876 |TA : 0.11515212 | 0 hr 00 min
Train Inter:400 | loss:  0.13018289 |PURE_my_rm : 0.10087341 |CM : -0.011651767 |DM : 0.029309474 |TA : 0.124546826 | 0 hr 01 min
Train Inter:500 | loss:  0.08974555 |PURE_my_rm : 0.081020534 |CM : -0.011370846 |DM : 0.008725014 |TA : 0.12442857 | 0 hr 01 min
Train Inter:600 | loss:  0.082108974 |PURE_my_rm : 0.069780886 |CM : -0.011193899 |DM : 0.01232809 |TA : 0.119020164 | 0 hr 01 min
Train Inter:700 | loss:  0.07056236 |PURE_my_rm : 0.061859787 |CM : -0.011469072 |DM : 0.008702573 |TA : 0.12342799 | 0 hr 01 min
Train Inter:800 | loss:  0.07337116 |PURE_my_rm : 0.06937057 |CM : -0.011263019 |DM : 0.004000588 |TA : 0.12468314 | 0 hr 02 min
Train Inter:900 | loss:  0.08283343 |PURE_my_rm : 0.06414753 |CM : -0.0119765485 |DM : 0.0186859 |TA : 0.124874294 | 0 hr 02 min
Train Inter:1000 | loss:  0.06112982 |PURE_my_rm : 0.055874944 |CM : -0.011326492 |DM : 0.0052548763 |TA : 0.12957412 | 0 hr 02 min

----------------------------------------------- [START 2026-03-18 22:27:08] ---------------------------------------------------

Train Inter:0 | loss:  1.3794743 |PURE_my_rm : 0.99483025 |CM : -0.009533298 |DM : 0.38464403 |TA : 0.066784084 | 0 hr 00 min
Train Inter:100 | loss:  0.6781419 |PURE_my_rm : 0.6290427 |CM : -0.011553822 |DM : 0.049099233 |TA : 0.10321796 | 0 hr 00 min
Train Inter:200 | loss:  0.24015859 |PURE_my_rm : 0.19638592 |CM : -0.0116991745 |DM : 0.04377267 |TA : 0.10934985 | 0 hr 00 min
Train Inter:300 | loss:  0.1313448 |PURE_my_rm : 0.11300033 |CM : -0.012100391 |DM : 0.018344462 |TA : 0.10896593 | 0 hr 00 min
Train Inter:400 | loss:  0.11108813 |PURE_my_rm : 0.09902394 |CM : -0.010589354 |DM : 0.012064191 |TA : 0.11522806 | 0 hr 01 min
Train Inter:500 | loss:  0.116334535 |PURE_my_rm : 0.09229708 |CM : -0.011748125 |DM : 0.02403746 |TA : 0.119128525 | 0 hr 01 min
Train Inter:600 | loss:  0.07624473 |PURE_my_rm : 0.06880933 |CM : -0.011306275 |DM : 0.0074353945 |TA : 0.120518684 | 0 hr 01 min
Train Inter:700 | loss:  0.07615555 |PURE_my_rm : 0.06813347 |CM : -0.011289753 |DM : 0.008022075 |TA : 0.121159256 | 0 hr 01 min
Train Inter:800 | loss:  0.06597649 |PURE_my_rm : 0.0554021 |CM : -0.011260983 |DM : 0.010574392 |TA : 0.120498955 | 0 hr 02 min
Train Inter:900 | loss:  0.08201787 |PURE_my_rm : 0.063150644 |CM : -0.011705316 |DM : 0.018867223 |TA : 0.118379354 | 0 hr 02 min
Train Inter:1000 | loss:  0.05723836 |PURE_my_rm : 0.05054766 |CM : -0.011141552 |DM : 0.0066906987 |TA : 0.13010067 | 0 hr 02 min
