
----------------------------------------------- [START 2026-03-24 20:21:13] ---------------------------------------------------

Train Inter:0 | loss:  1.3785553 |PURE_my : 0.9975384 |CM : -0.009711122 |DM : 0.38101685 |TA : 0.06768513 | 0 hr 00 min
Train Inter:100 | loss:  0.5166541 |PURE_my : 0.46040088 |CM : -0.011219616 |DM : 0.056253213 |TA : 0.09692752 | 0 hr 00 min
Train Inter:200 | loss:  0.41211197 |PURE_my : 0.3951174 |CM : -0.011132436 |DM : 0.016994577 |TA : 0.10259104 | 0 hr 00 min
Train Inter:300 | loss:  0.41105443 |PURE_my : 0.37312102 |CM : -0.01095287 |DM : 0.03793342 |TA : 0.10800189 | 0 hr 00 min
Train Inter:400 | loss:  0.36870542 |PURE_my : 0.3589306 |CM : -0.011093182 |DM : 0.009774845 |TA : 0.11692214 | 0 hr 01 min
Train Inter:500 | loss:  0.36172295 |PURE_my : 0.35410786 |CM : -0.0113448175 |DM : 0.0076150876 |TA : 0.11462557 | 0 hr 01 min
Train Inter:600 | loss:  0.3615899 |PURE_my : 0.35574824 |CM : -0.010997344 |DM : 0.00584168 |TA : 0.12216622 | 0 hr 01 min
Train Inter:700 | loss:  0.38214985 |PURE_my : 0.34344935 |CM : -0.010342386 |DM : 0.038700487 |TA : 0.12956947 | 0 hr 01 min
Train Inter:800 | loss:  0.3608496 |PURE_my : 0.34768778 |CM : -0.01125089 |DM : 0.013161797 |TA : 0.115116 | 0 hr 02 min
Train Inter:900 | loss:  0.35144836 |PURE_my : 0.34349984 |CM : -0.011222844 |DM : 0.0079485215 |TA : 0.11772072 | 0 hr 02 min
Train Inter:1000 | loss:  0.37418398 |PURE_my : 0.3458116 |CM : -0.0106902905 |DM : 0.028372377 |TA : 0.1195789 | 0 hr 02 min

----------------------------------------------- [START 2026-03-24 22:30:07] ---------------------------------------------------

Train Inter:0 | loss:  1.6013458 |PURE_my : 1.0031484 |CM : -0.010755343 |DM : 0.5981974 |TA : 0.05689591 | 0 hr 00 min
Train Inter:100 | loss:  0.3384404 |PURE_my : 0.22223312 |CM : -0.011272797 |DM : 0.11620727 |TA : 0.09570247 | 0 hr 00 min
Train Inter:200 | loss:  0.19017592 |PURE_my : 0.12983477 |CM : -0.011267362 |DM : 0.060341153 |TA : 0.09996033 | 0 hr 00 min
Train Inter:300 | loss:  0.12845281 |PURE_my : 0.088977695 |CM : -0.011393917 |DM : 0.03947512 |TA : 0.09650689 | 0 hr 01 min
Train Inter:400 | loss:  0.09064145 |PURE_my : 0.066666305 |CM : -0.011069651 |DM : 0.023975143 |TA : 0.11274797 | 0 hr 01 min
Train Inter:500 | loss:  0.07723366 |PURE_my : 0.0616256 |CM : -0.010421638 |DM : 0.01560806 |TA : 0.109942555 | 0 hr 02 min
Train Inter:600 | loss:  0.10254073 |PURE_my : 0.058787704 |CM : -0.010683023 |DM : 0.04375303 |TA : 0.10668564 | 0 hr 02 min
Train Inter:700 | loss:  0.0826903 |PURE_my : 0.057345808 |CM : -0.0110570695 |DM : 0.025344493 |TA : 0.11149484 | 0 hr 02 min
Train Inter:800 | loss:  0.07370946 |PURE_my : 0.054816067 |CM : -0.011550152 |DM : 0.018893395 |TA : 0.11366242 | 0 hr 03 min
Train Inter:900 | loss:  0.07869598 |PURE_my : 0.052413046 |CM : -0.010685055 |DM : 0.026282936 |TA : 0.11996907 | 0 hr 03 min
Train Inter:1000 | loss:  0.057370715 |PURE_my : 0.04776323 |CM : -0.010692535 |DM : 0.009607486 |TA : 0.124737024 | 0 hr 04 min
