
----------------------------------------------- [START 2026-03-16 17:16:33] ---------------------------------------------------


----------------------------------------------- [START 2026-03-16 17:17:50] ---------------------------------------------------


----------------------------------------------- [START 2026-03-16 17:19:55] ---------------------------------------------------

Train Inter:0 | loss:  1.4675336 |UBFC_my : 0.99704784 |CM : -0.009895134 |DM : 0.47048575 |TA : 0.06608993 | 0 hr 00 min
Train Inter:100 | loss:  0.54672056 |UBFC_my : 0.5039071 |CM : -0.011142166 |DM : 0.042813454 |TA : 0.11389881 | 0 hr 00 min
Train Inter:200 | loss:  0.24477658 |UBFC_my : 0.21072829 |CM : -0.01074414 |DM : 0.03404829 |TA : 0.11061162 | 0 hr 00 min
Train Inter:300 | loss:  0.16998088 |UBFC_my : 0.15320027 |CM : -0.0113617135 |DM : 0.016780617 |TA : 0.11493015 | 0 hr 00 min
Train Inter:400 | loss:  0.19485429 |UBFC_my : 0.14061081 |CM : -0.011471548 |DM : 0.05424348 |TA : 0.12529266 | 0 hr 01 min
Train Inter:500 | loss:  0.14084953 |UBFC_my : 0.12435931 |CM : -0.01128824 |DM : 0.016490225 |TA : 0.118031025 | 0 hr 01 min
Train Inter:600 | loss:  0.12377794 |UBFC_my : 0.114840865 |CM : -0.0110710375 |DM : 0.008937073 |TA : 0.124147415 | 0 hr 01 min
Train Inter:700 | loss:  0.12894928 |UBFC_my : 0.11868775 |CM : -0.011081779 |DM : 0.010261531 |TA : 0.13078827 | 0 hr 01 min
Train Inter:800 | loss:  0.12038688 |UBFC_my : 0.10254151 |CM : -0.010644963 |DM : 0.01784538 |TA : 0.13360482 | 0 hr 02 min
Train Inter:900 | loss:  0.13458663 |UBFC_my : 0.11065066 |CM : -0.011014228 |DM : 0.023935977 |TA : 0.13371676 | 0 hr 02 min
Train Inter:1000 | loss:  0.10594339 |UBFC_my : 0.09088349 |CM : -0.011609679 |DM : 0.015059893 |TA : 0.12969285 | 0 hr 02 min
