
----------------------------------------------- [START 2026-03-16 17:44:20] ---------------------------------------------------

Train Inter:0 | loss:  1.4009985 |UBFC_my : 1.0000229 |CM : -0.010447178 |DM : 0.40097556 |TA : 0.06383914 | 0 hr 00 min
Train Inter:100 | loss:  0.58861786 |UBFC_my : 0.5001884 |CM : -0.011645056 |DM : 0.08842943 |TA : 0.10467929 | 0 hr 00 min
Train Inter:200 | loss:  0.30207247 |UBFC_my : 0.24582791 |CM : -0.011245292 |DM : 0.05624455 |TA : 0.11494243 | 0 hr 00 min
Train Inter:300 | loss:  0.21621633 |UBFC_my : 0.176431 |CM : -0.010863983 |DM : 0.039785318 |TA : 0.111837626 | 0 hr 00 min
Train Inter:400 | loss:  0.16738547 |UBFC_my : 0.14623743 |CM : -0.010970472 |DM : 0.021148037 |TA : 0.12016338 | 0 hr 01 min
Train Inter:500 | loss:  0.18524677 |UBFC_my : 0.13368171 |CM : -0.011294417 |DM : 0.051565044 |TA : 0.11150485 | 0 hr 01 min
Train Inter:600 | loss:  0.1436785 |UBFC_my : 0.12656265 |CM : -0.010625572 |DM : 0.017115848 |TA : 0.12198198 | 0 hr 01 min
Train Inter:700 | loss:  0.19306377 |UBFC_my : 0.102074325 |CM : -0.011469641 |DM : 0.09098943 |TA : 0.11725694 | 0 hr 01 min
Train Inter:800 | loss:  0.13132647 |UBFC_my : 0.104786396 |CM : -0.011161995 |DM : 0.026540078 |TA : 0.122416556 | 0 hr 02 min
Train Inter:900 | loss:  0.105497986 |UBFC_my : 0.09414822 |CM : -0.010821122 |DM : 0.011349766 |TA : 0.13347381 | 0 hr 02 min
Train Inter:1000 | loss:  0.09745104 |UBFC_my : 0.08885914 |CM : -0.011144925 |DM : 0.008591901 |TA : 0.13349628 | 0 hr 02 min
