
----------------------------------------------- [START 2026-03-16 18:07:49] ---------------------------------------------------

Train Inter:0 | loss:  1.4653374 |BUAA_my_rm : 1.0007617 |CM : -0.010945457 |DM : 0.46457562 |TA : 0.06436664 | 0 hr 00 min
Train Inter:100 | loss:  1.0126511 |BUAA_my_rm : 1.0004346 |CM : -0.0122210225 |DM : 0.012216391 |TA : 0.11914188 | 0 hr 00 min
Train Inter:200 | loss:  1.0178503 |BUAA_my_rm : 1.0004408 |CM : -0.01234385 |DM : 0.017409502 |TA : 0.12731701 | 0 hr 00 min
Train Inter:300 | loss:  1.0086873 |BUAA_my_rm : 0.99966407 |CM : -0.011294415 |DM : 0.009023147 |TA : 0.14026499 | 0 hr 00 min
Train Inter:400 | loss:  1.0162055 |BUAA_my_rm : 1.0012326 |CM : -0.013212878 |DM : 0.014972918 |TA : 0.147784 | 0 hr 00 min
Train Inter:500 | loss:  1.0195825 |BUAA_my_rm : 0.99989504 |CM : -0.01298302 |DM : 0.019687522 |TA : 0.14659011 | 0 hr 01 min
Train Inter:600 | loss:  1.0100256 |BUAA_my_rm : 0.99913 |CM : -0.012880211 |DM : 0.010895567 |TA : 0.14252627 | 0 hr 01 min
Train Inter:700 | loss:  1.0329226 |BUAA_my_rm : 1.0005786 |CM : -0.012722882 |DM : 0.032343935 |TA : 0.15043807 | 0 hr 01 min
Train Inter:800 | loss:  1.0084023 |BUAA_my_rm : 1.0003831 |CM : -0.012853821 |DM : 0.008019191 |TA : 0.15341151 | 0 hr 01 min
Train Inter:900 | loss:  1.0164658 |BUAA_my_rm : 0.9998268 |CM : -0.013434107 |DM : 0.016639024 |TA : 0.15606195 | 0 hr 02 min
Train Inter:1000 | loss:  1.0044537 |BUAA_my_rm : 1.000209 |CM : -0.013407495 |DM : 0.0042446656 |TA : 0.16786104 | 0 hr 02 min

----------------------------------------------- [START 2026-03-16 21:35:07] ---------------------------------------------------


----------------------------------------------- [START 2026-03-16 21:35:54] ---------------------------------------------------

Train Inter:0 | loss:  1.3745935 |BUAA_my_rm : 0.9968986 |CM : -0.011069403 |DM : 0.37769496 |TA : 0.06577408 | 0 hr 00 min
Train Inter:100 | loss:  1.0135808 |BUAA_my_rm : 1.005738 |CM : -0.012290962 |DM : 0.0078428285 |TA : 0.12990946 | 0 hr 00 min
Train Inter:200 | loss:  1.0162413 |BUAA_my_rm : 0.9984623 |CM : -0.012215031 |DM : 0.01777903 |TA : 0.13028324 | 0 hr 00 min
Train Inter:300 | loss:  1.0228311 |BUAA_my_rm : 1.0001366 |CM : -0.0120423585 |DM : 0.02269452 |TA : 0.14358413 | 0 hr 00 min
Train Inter:400 | loss:  1.0268638 |BUAA_my_rm : 0.9996455 |CM : -0.01284466 |DM : 0.027218329 |TA : 0.13764465 | 0 hr 00 min
Train Inter:500 | loss:  1.0153134 |BUAA_my_rm : 0.99933386 |CM : -0.01266068 |DM : 0.015979502 |TA : 0.13916796 | 0 hr 01 min
Train Inter:600 | loss:  1.0104507 |BUAA_my_rm : 1.0012892 |CM : -0.01259421 |DM : 0.009161425 |TA : 0.14776224 | 0 hr 01 min
Train Inter:700 | loss:  1.0066677 |BUAA_my_rm : 0.98959035 |CM : -0.0129610095 |DM : 0.017077398 |TA : 0.14053744 | 0 hr 01 min
Train Inter:800 | loss:  0.97799283 |BUAA_my_rm : 0.9600858 |CM : -0.012983415 |DM : 0.017907048 |TA : 0.1365459 | 0 hr 01 min
Train Inter:900 | loss:  0.89163417 |BUAA_my_rm : 0.8718852 |CM : -0.012750235 |DM : 0.019749004 |TA : 0.13843918 | 0 hr 02 min
Train Inter:1000 | loss:  0.67427707 |BUAA_my_rm : 0.6577725 |CM : -0.012032411 |DM : 0.016504597 |TA : 0.1431548 | 0 hr 02 min

----------------------------------------------- [START 2026-03-16 21:58:10] ---------------------------------------------------

Train Inter:0 | loss:  1.4111934 |BUAA_my_rm : 1.0110255 |CM : -0.010065855 |DM : 0.40016776 |TA : 0.063619256 | 0 hr 00 min
Train Inter:100 | loss:  1.0213314 |BUAA_my_rm : 0.9989725 |CM : -0.0124336295 |DM : 0.022358965 |TA : 0.122299194 | 0 hr 00 min
Train Inter:200 | loss:  1.0449526 |BUAA_my_rm : 1.0075519 |CM : -0.012097619 |DM : 0.0374007 |TA : 0.13575059 | 0 hr 00 min
Train Inter:300 | loss:  1.0258759 |BUAA_my_rm : 0.997934 |CM : -0.013487464 |DM : 0.027941903 |TA : 0.13754654 | 0 hr 00 min
Train Inter:400 | loss:  1.0095645 |BUAA_my_rm : 1.00123 |CM : -0.01249464 |DM : 0.008334487 |TA : 0.14023453 | 0 hr 00 min
Train Inter:500 | loss:  1.0317656 |BUAA_my_rm : 1.0005893 |CM : -0.012611098 |DM : 0.031176345 |TA : 0.14253008 | 0 hr 01 min
Train Inter:600 | loss:  1.0189341 |BUAA_my_rm : 0.999081 |CM : -0.013105609 |DM : 0.019853067 |TA : 0.13533914 | 0 hr 01 min
Train Inter:700 | loss:  1.0484415 |BUAA_my_rm : 0.9978678 |CM : -0.01405164 |DM : 0.05057373 |TA : 0.12870163 | 0 hr 01 min
Train Inter:800 | loss:  0.97876686 |BUAA_my_rm : 0.9554161 |CM : -0.0141968215 |DM : 0.023350772 |TA : 0.13070148 | 0 hr 01 min
Train Inter:900 | loss:  0.8489544 |BUAA_my_rm : 0.8258181 |CM : -0.013269277 |DM : 0.023136262 |TA : 0.14721435 | 0 hr 02 min
Train Inter:1000 | loss:  0.6268154 |BUAA_my_rm : 0.61533517 |CM : -0.012407478 |DM : 0.011480238 |TA : 0.14858842 | 0 hr 02 min

----------------------------------------------- [START 2026-03-16 22:38:17] ---------------------------------------------------

Train Inter:0 | loss:  1.4347396 |BUAA_my_rm : 1.0008168 |CM : -0.011214427 |DM : 0.43392283 |TA : 0.064011395 | 0 hr 00 min
Train Inter:100 | loss:  1.0416548 |BUAA_my_rm : 0.9991855 |CM : -0.012186162 |DM : 0.04246928 |TA : 0.11538148 | 0 hr 00 min
Train Inter:200 | loss:  1.0190774 |BUAA_my_rm : 1.0049926 |CM : -0.012251615 |DM : 0.014084766 |TA : 0.12886333 | 0 hr 00 min
Train Inter:300 | loss:  1.0093455 |BUAA_my_rm : 0.9985559 |CM : -0.01233992 |DM : 0.010789635 |TA : 0.1473698 | 0 hr 00 min
Train Inter:400 | loss:  1.0255381 |BUAA_my_rm : 1.0015702 |CM : -0.012206203 |DM : 0.02396787 |TA : 0.14328593 | 0 hr 00 min
Train Inter:500 | loss:  1.0371644 |BUAA_my_rm : 0.99971676 |CM : -0.012790772 |DM : 0.03744774 |TA : 0.14785159 | 0 hr 01 min
Train Inter:600 | loss:  1.0140322 |BUAA_my_rm : 0.99802965 |CM : -0.013058938 |DM : 0.01600265 |TA : 0.13283342 | 0 hr 01 min
Train Inter:700 | loss:  1.0051687 |BUAA_my_rm : 1.0003304 |CM : -0.012469912 |DM : 0.0048381947 |TA : 0.14712512 | 0 hr 01 min
