Source Domain,Target domain,Weight,Regions,Std,MAE,RMSE,r
BUAA_my_in,PURE_my_in,0.0,HR,20.799664031658544,26.02224051283743,27.763730587551006,-0.03246544254241373
BUAA_my_in,PURE_my_in,0.01,HR,20.70344349882897,25.151595991942404,27.059230805904516,0.012272416082450414
BUAA_my_in,UBFC_my_in,0.0,HR,14.930732597182153,14.609776560688818,16.842678818848285,0.3715906915210632
BUAA_my_in,UBFC_my_in,0.01,HR,13.793978931709326,13.70482230194006,15.927534446838653,0.6775107378453473
PURE_my_in,BUAA_my_in,0.0,HR,4.747417003998983,3.72982134728065,5.250798854778062,0.8677678493701707
PURE_my_in,BUAA_my_in,0.01,HR,5.521975199565686,3.6355858524039317,5.913816501067935,0.8302979352487497
PURE_my_in,UBFC_my_in,0.0,HR,3.875862919863451,2.5462400915469083,4.45635050916762,0.9692420160869475
PURE_my_in,UBFC_my_in,0.01,HR,4.209111224245208,2.7053779558360835,4.746077186716,0.9640244906541737
UBFC_my_in,BUAA_my_in,0.0,HR,12.88796861688493,11.336883967331975,16.33700799354283,-0.21743987318515057
UBFC_my_in,BUAA_my_in,0.01,HR,12.84119783669521,11.20395426774851,16.18603856487649,-0.2283009492157874
UBFC_my_in,PURE_my_in,0.0,HR,20.809228699831586,26.059082794396666,31.39165257110145,0.2883955829241865
UBFC_my_in,PURE_my_in,0.01,HR,20.692106129560393,26.346431571377817,31.528310612148537,0.2891794791954159
