nest_id,dataset3_id,match_method,overlap_info
10000,08-03,overlap,overlap=2255/2255 frames, len_ratio=0.998
10003,10-05,overlap,overlap=1955/1955 frames, len_ratio=0.998
10005,07-03,overlap,overlap=2253/2253 frames, len_ratio=0.998
10006,07-04,overlap,overlap=2266/2266 frames, len_ratio=0.998
10009,05-03,overlap,overlap=2274/2274 frames, len_ratio=0.998
10010,02-02,overlap,overlap=1968/1968 frames, len_ratio=0.998
10011,07-02,overlap,overlap=2103/2103 frames, len_ratio=0.998
10014,05-04,overlap,overlap=2307/2307 frames, len_ratio=0.998
10015,08-01,overlap,overlap=1959/1959 frames, len_ratio=0.998
10016,02-05,overlap,overlap=1916/1916 frames, len_ratio=0.998
10017,03-02,overlap,overlap=2015/2015 frames, len_ratio=0.998
10018,06-04,overlap,overlap=2273/2273 frames, len_ratio=0.998
10019,10-03,overlap,overlap=2296/2296 frames, len_ratio=0.998
10020,03-01,overlap,overlap=1970/1970 frames, len_ratio=0.998
10021,06-05,overlap,overlap=1955/1955 frames, len_ratio=0.998
10022,05-06,overlap,overlap=1957/1957 frames, len_ratio=0.998
10024,10-02,overlap,overlap=1989/1989 frames, len_ratio=0.998
10025,07-01,overlap,overlap=1950/1950 frames, len_ratio=0.998
10027,08-05,overlap,overlap=1947/1947 frames, len_ratio=0.998
10028,03-05,overlap,overlap=1931/1931 frames, len_ratio=0.998
10031,01-06,overlap,overlap=2037/2037 frames, len_ratio=0.998
10032,01-03,overlap,overlap=2477/2477 frames, len_ratio=0.998
10033,06-03,overlap,overlap=2265/2265 frames, len_ratio=0.998
10035,09-05,overlap,overlap=1958/1958 frames, len_ratio=0.998
10036,03-06,overlap,overlap=1946/1946 frames, len_ratio=0.998
10037,10-04,overlap,overlap=2333/2333 frames, len_ratio=0.998
10039,07-05,overlap,overlap=1938/1938 frames, len_ratio=0.998
10040,10-06,overlap,overlap=1946/1946 frames, len_ratio=0.998
10041,01-02,overlap,overlap=2019/2019 frames, len_ratio=0.998
10042,09-02,overlap,overlap=2013/2013 frames, len_ratio=0.998
10043,01-05,overlap,overlap=2019/2019 frames, len_ratio=0.998
10044,10-01,overlap,overlap=1948/1948 frames, len_ratio=0.998
10045,09-03,overlap,overlap=2281/2281 frames, len_ratio=0.998
10046,08-06,overlap,overlap=1959/1959 frames, len_ratio=0.997
10047,02-03,overlap,overlap=2181/2181 frames, len_ratio=0.998
10048,04-06,overlap,overlap=1958/1958 frames, len_ratio=0.998
10049,04-05,overlap,overlap=1946/1946 frames, len_ratio=0.998
10050,01-01,overlap,overlap=2021/2021 frames, len_ratio=0.998
10051,09-06,overlap,overlap=1978/1978 frames, len_ratio=0.997
10052,02-01,overlap,overlap=2035/2035 frames, len_ratio=0.998
10053,05-01,overlap,overlap=1980/1980 frames, len_ratio=0.998
10054,08-04,overlap,overlap=2293/2293 frames, len_ratio=0.998
10055,06-06,overlap,overlap=1965/1965 frames, len_ratio=0.998
10056,02-06,overlap,overlap=1938/1938 frames, len_ratio=0.997
10057,01-01,overlap,overlap=0/2010 frames, len_ratio=0.992
10059,05-02,overlap,overlap=2002/2002 frames, len_ratio=0.998
10060,03-04,overlap,overlap=2241/2241 frames, len_ratio=0.998
10062,04-02,overlap,overlap=2022/2022 frames, len_ratio=0.998
10063,09-01,overlap,overlap=1961/1961 frames, len_ratio=0.998
10064,08-02,overlap,overlap=1974/1974 frames, len_ratio=0.998
10065,06-01,overlap,overlap=1967/1967 frames, len_ratio=0.998
10066,03-03,overlap,overlap=2196/2196 frames, len_ratio=0.998
10067,07-06,overlap,overlap=1956/1956 frames, len_ratio=0.998
10070,05-05,overlap,overlap=1959/1959 frames, len_ratio=0.998
10073,01-04,overlap,overlap=2488/2488 frames, len_ratio=0.998
10074,04-04,overlap,overlap=2277/2277 frames, len_ratio=0.998
10076,04-01,overlap,overlap=1957/1957 frames, len_ratio=0.998
10077,02-04,overlap,overlap=2220/2220 frames, len_ratio=0.998
10078,04-03,overlap,overlap=2264/2264 frames, len_ratio=0.998
10079,09-04,overlap,overlap=2575/2575 frames, len_ratio=0.998
